i\RPM	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	
2200	2.913	3.071	3.178	3.243	3.275	3.277	3.252	3.207	3.143	3.061	2.966	2.857	2.738	2.609	2.472	2.328	2.177	2.021	1.862	1.699	
2420	2.914	3.071	3.178	3.244	3.275	3.277	3.253	3.208	3.143	3.062	2.967	2.859	2.740	2.611	2.474	2.330	2.179	2.023	1.863	1.700	
2640	2.914	3.070	3.178	3.244	3.275	3.277	3.254	3.208	3.144	3.064	2.968	2.861	2.742	2.613	2.476	2.331	2.180	2.024	1.863	1.698	
2860	2.914	3.070	3.178	3.244	3.275	3.278	3.254	3.209	3.145	3.065	2.970	2.862	2.743	2.614	2.477	2.331	2.180	2.022	1.859	1.693	
3080	2.914	3.070	3.178	3.244	3.275	3.278	3.255	3.210	3.146	3.066	2.971	2.863	2.744	2.614	2.477	2.331	2.177	2.016	1.851	1.683	
3300	2.914	3.071	3.178	3.244	3.276	3.278	3.255	3.211	3.147	3.067	2.972	2.864	2.744	2.615	2.475	2.326	2.168	2.005	1.839	1.669	
3520	2.913	3.071	3.178	3.244	3.276	3.279	3.256	3.212	3.148	3.068	2.972	2.863	2.745	2.613	2.468	2.315	2.155	1.990	1.821	1.649	
3740	2.914	3.070	3.178	3.245	3.277	3.279	3.257	3.212	3.149	3.068	2.972	2.865	2.741	2.604	2.456	2.300	2.137	1.970	1.798	1.624	
3960	2.914	3.071	3.178	3.245	3.277	3.280	3.257	3.213	3.149	3.068	2.974	2.861	2.732	2.591	2.439	2.280	2.115	1.945	1.770	1.592	
