mach,alpha,cd,cl
0.06,-2.0,0.010,-0.2
0.06,0.0,0.010,0.10
0.06,2.0,0.015,0.30
0.06,4.0,0.020,0.45
0.06,6.0,0.035,0.58
0.06,8.0,0.040,0.73
0.06,10.0,0.055,0.875
0.06,12.0,0.070,1.0
0.06,14.0,0.090,1.15
0.06,16.0,0.110,1.30
