mach,alpha,cd,cl,cm
0.34,-0.95,0.0068,-0.024,-0.0006
0.34,-0.14,0.0071,0.075,-0.0010
0.34,3.51,0.0076,0.517,-0.0031
0.34,7.13,0.0095,0.959,-0.0051
0.34,9.79,0.0135,1.265,-0.0037
0.34,10.71,0.0133,1.372,-0.0022
0.34,11.64,0.0162,1.425,-0.0017
0.39,-0.92,0.0073,-0.014,-0.0015
0.39,-0.10,0.0071,0.083,-0.0019
0.39,3.43,0.0073,0.510,-0.0043
0.39,7.01,0.0094,0.950,-0.0052
0.39,9.77,0.0112,1.267,-0.0017
0.39,10.73,0.0135,1.368,0.0009
0.39,11.72,0.0159,1.401,-0.0007
0.44,-1.01,0.0064,-0.027,-0.0020
0.44,-0.08,0.0063,0.084,-0.0029
0.44,3.43,0.0069,0.528,-0.0045
0.44,6.94,0.0093,0.945,-0.0046
0.44,8.83,0.0111,1.164,-0.0006
0.44,9.74,0.0130,1.282,0.0020
0.44,10.65,0.0183,1.331,0.0065
0.49,-1.10,0.0068,-0.035,-0.0026
0.49,-0.12,0.0067,0.088,-0.0038
0.49,3.44,0.0068,0.541,-0.0052
0.49,5.21,0.0082,0.763,-0.0043
0.49,6.93,0.0099,0.987,-0.0024
0.49,8.77,0.0183,1.194,0.0065
0.49,9.75,0.0252,1.250,0.0101
0.54,-1.06,0.0070,-0.027,-0.0036
0.54,-0.13,0.0067,0.095,-0.0042
0.54,3.26,0.0078,0.541,-0.0053
0.54,5.15,0.0076,0.786,-0.0039
0.54,7.26,0.0172,1.043,0.0056
0.54,8.17,0.0281,1.121,0.0105
0.54,8.99,0.0421,1.167,0.0096
0.59,-1.02,0.0067,-0.027,-0.0058
0.59,-0.12,0.0069,0.098,-0.0049
0.59,3.48,0.0069,0.585,-0.0050
0.59,5.24,0.0111,0.808,0.0002
0.59,7.05,0.0312,0.999,0.0055
