i\RPM	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	
2200	5.923	6.017	6.022	5.954	5.830	5.658	5.445	5.198	4.924	4.625	4.308	3.977	3.636	3.288	2.935	2.579	2.223	1.869	1.520	1.178	
2420	5.923	6.018	6.022	5.954	5.830	5.658	5.445	5.199	4.924	4.625	4.308	3.977	3.636	3.288	2.934	2.579	2.223	1.869	1.520	1.178	
2640	5.924	6.018	6.022	5.955	5.830	5.657	5.445	5.198	4.923	4.625	4.308	3.977	3.636	3.287	2.934	2.579	2.223	1.869	1.520	1.178	
2860	5.924	6.018	6.022	5.955	5.830	5.658	5.445	5.198	4.923	4.625	4.308	3.977	3.636	3.288	2.935	2.579	2.223	1.869	1.520	1.178	
3080	5.923	6.018	6.022	5.955	5.830	5.657	5.445	5.198	4.923	4.625	4.308	3.977	3.636	3.287	2.935	2.579	2.223	1.869	1.520	1.178	
3300	5.923	6.018	6.022	5.954	5.830	5.657	5.445	5.199	4.924	4.625	4.308	3.977	3.636	3.288	2.934	2.579	2.223	1.869	1.520	1.178	
3520	5.924	6.018	6.022	5.954	5.830	5.658	5.445	5.199	4.924	4.625	4.308	3.977	3.636	3.287	2.935	2.579	2.223	1.869	1.520	1.178	
3740	5.924	6.018	6.022	5.955	5.830	5.658	5.445	5.198	4.923	4.625	4.308	3.977	3.636	3.287	2.935	2.579	2.223	1.869	1.520	1.178	
3960	5.923	6.018	6.022	5.955	5.830	5.657	5.445	5.198	4.923	4.625	4.308	3.977	3.636	3.287	2.934	2.579	2.223	1.869	1.520	1.178	
