RPM	T(N)	P(kW)	T(lbf)	P(Hp)	FM	M_tip
2200	90.13	 1.10	20.26	 1.48	0.613	0.302	7.485
2420	111.27	 1.51	25.02	 2.03	0.613	0.336	8.316
2640	134.64	 2.01	30.27	 2.70	0.613	0.369	9.148
2860	153.63	 2.45	34.54	 3.29	0.613	0.395	9.772
3080	180.89	 3.13	40.67	 4.20	0.613	0.428	10.603
3300	210.38	 3.93	47.29	 5.27	0.613	0.462	11.435
3520	233.96	 4.61	52.60	 6.18	0.613	0.487	12.059
3740	267.34	 5.63	60.10	 7.54	0.613	0.520	12.890
3960	302.94	 6.79	68.10	 9.10	0.613	0.554	13.722
