i\RPM	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	
2200	4.235	4.375	4.433	4.426	4.368	4.266	4.131	3.966	3.778	3.571	3.347	3.109	2.861	2.604	2.341	2.072	1.801	1.529	1.258	0.991	
2420	4.233	4.375	4.433	4.427	4.369	4.267	4.132	3.968	3.781	3.573	3.350	3.113	2.864	2.607	2.343	2.074	1.803	1.530	1.258	0.990	
2640	4.232	4.374	4.433	4.427	4.369	4.269	4.134	3.971	3.783	3.576	3.353	3.115	2.867	2.609	2.344	2.075	1.802	1.527	1.255	0.985	
2860	4.232	4.374	4.433	4.428	4.370	4.270	4.136	3.972	3.785	3.578	3.354	3.117	2.867	2.609	2.344	2.073	1.799	1.523	1.249	0.978	
3080	4.231	4.373	4.433	4.428	4.372	4.272	4.138	3.975	3.788	3.580	3.356	3.117	2.867	2.607	2.340	2.067	1.791	1.513	1.236	0.963	
3300	4.230	4.374	4.434	4.430	4.373	4.274	4.140	3.977	3.789	3.581	3.356	3.116	2.864	2.602	2.333	2.057	1.778	1.497	1.218	0.943	
3520	4.230	4.374	4.435	4.431	4.375	4.276	4.142	3.978	3.790	3.581	3.355	3.113	2.860	2.596	2.324	2.046	1.764	1.481	1.200	0.923	
3740	4.230	4.375	4.436	4.432	4.377	4.278	4.143	3.979	3.790	3.580	3.352	3.108	2.851	2.584	2.309	2.027	1.741	1.454	1.170	0.890	
3960	4.231	4.375	4.437	4.434	4.378	4.279	4.145	3.979	3.789	3.577	3.346	3.099	2.839	2.568	2.288	2.001	1.711	1.420	1.132	0.850	
