RPM	T(N)	P(kW)	T(lbf)	P(Hp)	FM	M_tip
2200	106.69	 1.04	23.99	 1.40	0.751	0.335	7.329
2420	131.64	 1.40	29.59	 1.88	0.764	0.373	8.141
2640	159.29	 1.83	35.81	 2.46	0.779	0.410	8.955
2860	181.86	 2.20	40.88	 2.95	0.790	0.438	9.568
3080	214.50	 2.77	48.22	 3.71	0.805	0.475	10.392
3300	250.25	 3.43	56.26	 4.61	0.818	0.513	11.224
3520	279.21	 4.01	62.77	 5.37	0.826	0.541	11.856
3740	320.93	 4.89	72.15	 6.56	0.834	0.578	12.711
3960	366.47	 5.95	82.39	 7.98	0.837	0.615	13.583
