RPM	T(N)	P(kW)	T(lbf)	P(Hp)	FM	M_tip
2200	90.20	 1.03	20.28	 1.39	0.653	0.302
2310	100.50	 1.22	22.59	 1.63	0.653	0.319
2420	111.36	 1.42	25.03	 1.90	0.653	0.336
2640	134.74	 1.89	30.29	 2.53	0.653	0.369
2820	153.74	 2.30	34.56	 3.09	0.653	0.395
3080	181.02	 2.94	40.70	 3.94	0.653	0.428
3300	210.53	 3.69	47.33	 4.94	0.653	0.462
3410	218.26	 3.89	49.07	 5.22	0.653	0.470
3520	234.13	 4.32	52.63	 5.80	0.653	0.487
3740	267.54	 5.28	60.14	 7.08	0.653	0.520
3960	303.17	 6.37	68.16	 8.54	0.653	0.554
