RPM	T(N)	P(kW)	T(lbf)	P(Hp)	FM	M_tip
2200	98.75	 0.97	22.20	 1.30	0.798	0.302	7.834
2420	121.82	 1.31	27.39	 1.76	0.809	0.336	8.702
2640	147.35	 1.72	33.13	 2.30	0.822	0.369	9.570
2860	167.55	 2.06	37.67	 2.77	0.828	0.395	10.205
3080	195.78	 2.59	44.01	 3.48	0.833	0.428	11.031
3300	234.31	 3.24	52.67	 4.34	0.874	0.461	12.068
3520	261.93	 3.77	58.88	 5.06	0.886	0.487	12.759
3740	303.37	 4.61	68.20	 6.18	0.904	0.520	13.732
3960	347.04	 5.59	78.02	 7.50	0.912	0.554	14.687
